URL,PR page,PR main,IP,Subnet,Server Country,Server Region,Google Index,Google index domain main,Google index URL,Google index URL main,Google cache,Backlinks Ahrefs,Links to this Page,Referring Domains,Text Backlinks,Referring IP Addresses Ahrefs,Class C Subnets,Bing,Yahoo catalog,Backlinks Majesticseo,Referring Domains MajesticSEO,Citation Flow,Trust Flow,Organic Keywords Semrush,Difference SemRush Organic Keywords,DMOZ,Moz Page Authority,Moz Domain Authority,Page MozRank,Page MozTrust,Domain MozRank,Domain MozTrust,Moz Link Count,Alexa Rank,Alexa Rank Local,Alexa Sites Linking,Domain Merge,Google Domain Mentions,Site links,Link Stat,Language,Web.Arch Domain Age,WhoIs Domain Age,Status Code,FB Likes,FB Shares,FB Total,Google +1,Twitter,StumbleUpon,Diggs,Pins,LinkedIn,Rating
http://www.dius.gov.uk,8,8,83.137.210.86,,United Kingdom,,3640,789,0,0,n/f,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,4,-1,No,73.21,99.58,5.67,6.15,8.29,8.88,2088,n/f,n/f,345,No,,,,,,,,,,,,,,,,,0
http://blogs.ft.com,7,7,125.56.205.121,,Australia,,158000,33900,n/f,0,5/16/2014 5:26,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,71973,-1,No,75.56,95.56,4.64,5.86,7.57,8.79,1292,1059,874,60870,Yes,,,,,,,,,,,,,,,,,0
http://www.apogeephoto.com,7,7,72.4.144.73,,United States,Illinois,2470,957,n/f,1,5/16/2014 8:29,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,823,-1,Yes,60.51,52.43,5.56,5.88,4.97,5.56,1898,186248,138978,448,No,,,,,,,,,,,,,,,,,0
http://www.deccanchronicle.com,6,6,54.251.246.5,,Singapore,,165000,42300,n/f,1,5/17/2014 8:24,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,5724,-1,Yes,76.79,71.8,5.96,6.03,5.97,6.35,49278,4255,383,4174,No,,,,,,,,,,,,,,,,,0
http://www.disabilitynow.org.uk,6,6,82.43.24.242,,United Kingdom,,19500,1630,n/f,1,5/16/2014 13:35,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,67,-1,Yes,64.82,57.55,5.97,6.51,5.3,5.69,9437,782027,119752,392,No,,,,,,,,,,,,,,,,,0
http://www.gizmag.com,6,6,50.56.48.210,,United States,Texas,28700,28200,n/f,1,5/17/2014 4:36,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,94270,-1,Yes,85.84,82.77,6.04,6.31,6.52,6.82,85060,3438,1689,13093,No,,,,,,,,,,,,,,,,,0
http://www.llrx.com,7,7,54.243.52.90,,United States,Virginia,7310,1310,n/f,1,5/16/2014 15:19,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,1359,-1,Yes,80.33,76.32,5.9,6.56,5.85,6.64,19575,315707,90241,1786,No,,,,,,,,,,,,,,,,,0
http://www.edmunds.com,7,7,204.16.221.1,,United States,California,9250000,165000,n/f,1,5/16/2014 12:46,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,495979,-1,Yes,90.73,89.13,6.73,6.79,6.67,7.05,135753,1741,475,11126,No,,,,,,,,,,,,,,,,,0
http://traveloregon.com,7,7,74.85.242.209,,United States,Oregon,16200,2320,n/f,1,5/15/2014 0:31,n/f,n/f,n/f,n/f,n/f,n/f,270000,n/f,,,,,4753,-1,Yes,74.36,72.37,6.63,6.55,5.81,6.49,26846,108528,35495,1552,No,,,,,,,,,,,,,,,,,0
http://www.wlv.ac.uk,7,7,134.220.2.46,,United Kingdom,Wolverhampton,16000,7650,n/f,1,5/16/2014 14:39,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,1293,-1,No,76.15,71.2,6.26,6.09,6.05,6.51,29630,114768,9074,2521,No,,,,,,,,,,,,,,,,,0
http://www.ericweisstein.com,6,6,140.177.205.54,,United States,Illinois,n/f,n/f,n/f,n/f,5/16/2014 1:35,n/f,n/f,n/f,n/f,n/f,n/f,0,n/f,,,,,71,-1,No,64.51,57.2,5.43,6.47,4.86,5.18,1291,2965757,n/f,165,No,,,,,,,,,,,,,,,,,0
http://torontoist.com,6,6,174.143.204.91,,United States,"Armed Forces Europe, Middle East, & Canada",n/f,n/f,n/f,n/f,5/17/2014 5:38,n/f,n/f,n/f,n/f,n/f,n/f,137000,n/f,,,,,978,-1,Yes,74.73,69.36,6.07,6.34,5.95,6.14,54216,114611,2287,2374,No,,,,,,,,,,,,,,,,,0
http://webhostinggeeks.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://smallbiztrends.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.newamerica.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://nanotechweb.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://occupywallst.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://supportforums.blackberry.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.clickz.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.freshbooks.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.resilience.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.utmb.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.acslaw.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.findunifi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.gothamgazette.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.rubiconpersonalip.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
